articleTitle.auto(),articleBody.auto(),difficulty.auto(),sourceURL.auto(),fake.boolean(),factCheck.auto(),factCheckURL.auto(),imageURL.auto(),index.auto()
"Mom calls 911 over son's video-game habit. 
Police say a frustrated Boston woman called 911 to say she couldn't get her 14-year-old son to stop playing video games and go to sleep.","Police say a frustrated Boston woman called 911 to say she couldn't get her 14-year-old son to stop playing video games and go to sleep. 

Police spokesman Officer Joe Zanoli said Monday the mother called for help around 2:30 a.m. ET Saturday to say that the teenager also walked around the house and turned on all the lights. 

Two officers who responded to the house persuaded the child to obey his mother. 
Zanoli says the mother's 911 call over video game obsession ""was a little unusual, but by no means is it surprising — especially in today's day and age when these kids play video games and computer games."" 

The Boston Herald first reported the 911 call, saying the boy was playing the popular ""Grand Theft Auto"" game.",medium,https://www.nbcnews.com/id/wbna34516954,FALSE,"This is real news. This may seem unusual, but it appears that the 14-year-old son has a video game obsession, and his mother certainly did call the police for it! 
Please see the link for more information: ",http://archive.boston.com/news/local/massachusetts/articles/2009/12/21/boston_mom_calls_911_over_sons_video_game_habit/,NULL,4
"American Airlines Passenger Won’t Stop Doing Pull-Ups, Forces Emergency Landing","There’s a time and a place to work on lat strength and a five-hour flight across the United States is not one of them. 

On Monday night, American Airlines flight 2763 was just trying to make the regular flight from Phoenix to Boston but according to the news we first saw covered by CBS Boston, an unnamed fitness enthusiast had other ideas. He wanted to work on his pull-ups. 

The man, who was said to be intoxicated if you can believe it, boarded the flight with a woman and not one, but two dogs — which is already pushing it, let’s be honest. He ordered more drinks during the flight and after another passenger inadvertently egged him on, the man started doing pull-ups off of the overhead compartment. 

Then he refused to stop. 

Passenger David Maroski gave a play-by-play of what happened. 

He was leaning up against where you put the bags overhead and a passenger came by and said ‘What are you going to do, some pull ups?’ and the guy actually grabbed on to it and started doing some pull ups on the plane in front of everybody. 

He would not sit down. The flight attendant probably asked him about three or four times to sit down and he refused to sit down and then he really got verbally abusive with her, starting calling her names. 

Verbal abuse is about when flight attendants decide to no longer tolerate your crap and the pilots decided to divert the plane to Kansas City. FBI agents greeted the man at the gate, but it appears that no one has been taken into custody or been charged. 

Amazingly, the plane eventually touched down at Boston at 1am, just 90 minutes after the original arrival time, which is pretty impressive given the impromptu landing and FBI involvement. 

We know bodyweight workouts are a great way to get your gains on when there’s no gym in sight, but there’s a reason aeroplanes don’t have designated pull-up bars. Wait until you’ve collected your bags, at least.",hard,https://barbend.com/american-airlines-pullups/,FALSE,"This is real news. Sounds like a fictional story of an exercise enthusiast? Certainly not, as this is true and the flight was en route from Phoenix to Boston when it made an emergency landing because of the passenger’s behaviour. 
Please see the link for more information:",https://www.yahoo.com/lifestyle/american-airlines-flight-diverted-passenger-wouldnt-stop-performing-pull-ups-overhead-bin-210142069.html,https://i.ibb.co/BCqjMTG/hard4.webp,4
New Earth-sized planet found in habitable sweet-spot orbit around a distant star,"Researchers have discovered a new Earth-sized planet orbiting a star outside our solar system. The planet, called Kepler-1649c, is only around 1.06 times larger than Earth, making it very similar to our own planet in terms of physical dimensions. It’s also quite close to its star, orbiting at a distance that means it gets around 75% of the light we do from the Sun. 

The planet’s star is a red dwarf, which is more prone to the kind of flares that might make it difficult for life to have evolved on its rocky satellite’s surface, unlike here in our own neighborhood. It orbits so closely to its star, too, that one year is just 19.5 of our days — but the star puts out significantly less heat than the Sun, so that’s actually right in the proper region to allow for the presence of liquid water. 

Kepler-1649c was found by scientists digging into existing observations gathered by the Kepler space telescope before its retirement from operational status in 2018. An algorithm that was developed to go through the troves of data collected by the telescope and identify potential planets for further study failed to properly ID this one, but researchers noticed it when reviewing the information. 

There’s still a lot that remains to be discovered about the exoplanet, like what its atmosphere is like. There could be any number of other problems with Kepler-1649c relative to its ability to support life, as well, including errors in the data used to determine that it is Earth-like and in the correct habitable zone around its star. But this represents one of the best-ever potential extra-solar planets found in terms of its potential of supporting life, thanks to the combo of its size and the temperate orbital band it occupies. 

Identified exoplanets with Earth-like characteristics provide scientists with good candidates for future study, including targeting via Earth-based and in-space observation instruments. It’ll probably be a long time before we can definitively say anything about whether or not they might support actual life, but even finding exoplanets with the potential is an exciting development. ",easy,https://techcrunch.com/2020/04/15/new-earth-sized-planet-found-in-habitable-sweet-spot-orbit-around-a-distant-star/,FALSE,"This is real news. This is true, as NASA announced the discovery of an “earth-sized, habitable planet” called Kepler-1649c! 
Please see the link for more information:",https://www.nasa.gov/press-release/earth-size-habitable-zone-planet-found-hidden-in-early-nasa-kepler-data,https://i.ibb.co/n1dGyWy/easy5.jpg,5
Newly opened bridge in Shenxianju,"An aerial photo of Ruyi Bridge in Shenxianju, a national 5A scenic attraction in Taizhou, East China's Zhejiang province. 
 
Ruyi Bridge in Shenxianju, a national 5A scenic attraction in Taizhou, recently attracted a lot of attention online. Posts related to it on the short-video sharing platform Douyin have garnered more than 50 million views. 

The bridge has a total length of 100 meters and a height of 140 meters, spanning the Shenxianju valley. 

It is composed of three undulating bridges, and part of its deck is made of transparent glass. It has become one of the scenic area's major attractions. 
It opened in late September and has attracted 200,000 visitors to date. 

The bridge was designed by He Yunchang, a steel structure expert at the China Metal Structure Association. He was involved in the design of several famous structures, including Bird's Nest and the new CCTV Tower. ",medium,http://www.ezhejiang.gov.cn/2020-11/18/c_564960.htm,FALSE,"This is real news. As fact-checking site Snopes mentioned, some believed that this scenic attraction was the result of computer-generated imagery. However, the Ruyi bridge is real, and it is located in China’s Zhejiang Province. 
Please see the link for more information:",https://www.snopes.com/fact-check/ruyi-bridge-china-real/,https://i.ibb.co/WKmS5PB/medium5.jpg,5
Reason Why Khatib and Yio Chu Kang MRT Station Are So Far Apart is Allegedly Due to Disneyland,"If you look at the MRT map, you’ll see that the distance between Khabit MRT Station and Yio Chu Kang MRT Station is, well, pretty reasonable. 

But take the train and you’ll know that it’s a bloody long ride between these stations. 

For the record, the travel time between these two stations is six minutes. The typical travel time (if that’s no breakdown lah) between two stations is about two to four minutes. 

This stretch of line is also scheduled for maintenance and improvement works this month during the weekends, leading to early closures and late openings. 

Now that the numbers and facts are out of the way, here’s the revelation that you might not know: there was actually an MRT station planned between them, and it was rumuored to be named Lentor MRT Station. 

We now know Lentor MRT Station as a real MRT station that’s part of the new Thomson-East Coast Line, in which Lentor MRT Station itself is scheduled to be operational by 2020 serving residents in Ang Mo Kio, located underneath Lentor Drive. 

But what about the previously rumoured Lentor MRT Station? 

Hold your breath, because you’re going to scream after that. 

Apparently, in the 1990s, Disney (yes, Disneyland!) proposed to build a theme park there. Lest you’re not aware, Disney owns the Marvel movies as well, so if there’s a Disneyland here, we could well be taking selfies with Iron Man and Captain America now. 

After talks and whatnot, the idea was abandoned after Disney and the Government could not come out with a feasible and workable theme park. 

And so, ta-da: we have, instead of Disneyland, a loooooooooong MRT ride. 

The Disneyland is supposed to be along Lentor Avenue, but well, at least we’ve got Universal Studios Singapore now lah. 

Just imagine this: tourists coming to Singapore merely because of Disneyland. And no longer do we need to go Hong Kong just to see Mickey Mouse in action. 

I don’t know about you, but Singapore would definitely be different if that had gone through, and people living in the north would have been, erm, happier? 

Not sure about you, but Yishun might be very different in an alternate universe where Disneyland was built there #justsaying ",hard,https://goodyfeed.com/reason-why-khatib-and-yio-chu-kang-mrt-station-are-so-far-apart-is-allegedly-due-to-disneyland/,FALSE,"This is real news. You must have heard speculations about Disneyland in Singapore, and it is true! The theme park was meant to be built between Yio Chu Kang and Khatib MRT station, but the plan was eventually called off following unfruitful negotiations and talks. 
Please see the link for more information:",https://www.gov.sg/article/factually-sg50-edition-more-fun-facts-about-our-little-red-dot,NULL,5
NETIZEN CLAIMS: GUY CAUGHT FOR SELLING CAT & DOG MEAT AT GEYLANG BAZAAR,"A netizen uploaded a photo of a man in handcuffs and under police custody with the following text. 

 “Caught for selling cat n dog meat at the Geylang Bazaar.” 

 “Wonder where he got the meat from?” ",easy,https://singaporeuncensored.com/netizen-claims-guy-caught-for-selling-cat-dog-meat-at-geylang-bazaar/,TRUE,"This is fake news. Investigations by NEA found that the photo used in this article was that of foreign food handlers accosted for working illegally, not for selling cat and dog meat. Fake news articles sometimes use real photos but misuse or misrepresent them to support their false narrative. 
Please click on the link to view the full fact check:  ",https://www.gov.sg/article/geylang-serai-bazaar-raid-a-case-of-nonhalal-food-or-unlicensed-food-handlers,https://i.ibb.co/tMpLRGs/easy6.jpg,6
Drinking Water From A Copper Cup Helps,"1) Kill  bacteria 
2) Stimulate the brain 
3) Regulate the functioning of the thyroid gland 
4) Soothe orthritis pain 
5) Boost skin aging 
6) Slow down aging 
7) Improve digestion 
8) Get rid of anemia 
9) Lower the risk of cancer and heart disease",medium,https://perma.cc/GH37-TCTL?type=image,TRUE,"This is fake news. Experts found no evidence to support the claim that drinking from a copper cup is a cure-all. Purported health benefits can be enticing, and it is crucial that readers cross-check and verify such claims carefully on established sites and with experts for further clarifications. 
Please click on the link to view the full fact check: ",https://factcheck.afp.com/experts-say-there-no-evidence-support-claims,https://i.ibb.co/RjxxKT8/medium6.png,6
"Yes, your phone is taking ‘invisible’ pictures of you","A video showing a mobile device snapping infrared images of an iPhone user is circulating around the internet and is catching many by surprise. 

In the Tik Tok shared by user Brie Thomason, a digital camera using an infrared lens is seen filming an iPhone user observing their home screen. As the iPhone user stares blatantly at the device, Thomason’s digital camera captures the iPhone snapping multiple infrared images every 5-10 seconds. 

Since the video was uploaded to social media on May 8, it has garnered over 224k likes and over 17.5k shares; alarming some and catching many off guard. 

While this discovery may cause some users to panic, Apple claims this is actually just an aspect of the iPhone that allows users to control their face ID and Animoji (the animated emoji function). 

According to Apple, this feature was first debuted as the iPhone X’s most groundbreaking function; since it is not even discernible at first glance, even though it literally stares you in the face. 

The company calls this feature: the new TrueDepth IR camera. This camera, housed in the black notch at the top of the display, includes a number of high-tech components such as a “flood illuminator,” infrared (IR) camera, and an infrared emitter. 

Officials say as an iPhone is used, the latter emits 30,000 infrared dots in a known pattern when a face is detected, enabling the iPhone X to generate a 3D map of a user’s face. According to the team, this TrueDepth IR camera can also do this fast enough to support the creation of 3D motion data as well. 

So, yes, your iPhone is essentially taking “invisible” photos of you, but not for the reasons you would think.",hard,https://www.abc4.com/news/tech-social-media/yes-your-iphone-is-taking-invisible-pictures-of-you/,TRUE,"This is fake news. This is a misleading post about Apple’s TrueDepth camera enabling Attention Aware Features. While it is true that some iPhones give off an infrared light every few seconds, it does not function to take ‘invisible’ pictures, but to check if one is using the device. It is thus important that readers check the source and reliability of news carefully. 
Please click on the link to view the full fact check: ",https://www.usatoday.com/story/news/factcheck/2021/05/31/fact-check-misleading-videos-iphones-attention-awareness-feature/7446508002/,https://i.ibb.co/GWpvFVx/on-September-16-2016-in-Berlin-Germany.jpg,6
Sunscreen Has Killed More People Than The Sun,"Such a great post I had to share from @carnivoreaurelius - hits the nail on the head!  

The sunscreen industry has grown to $2bn but melanoma rates continue to increase.  

Interesting huh? 

Sunscreen doesn’t “protect” you against the sun. It blocks UVB and it dumps toxins into your bloodstream. 

These toxic chemicals have been detected in the blood above acceptable FDA levels. 

It also prevents you from synthesizing vitamin D, a contributing factor to why sun deficiencies are linked to cancer, Alzheimer’s disease, depression, heart disease and diabetes. 

A study on outdoor workers showed that those who got the most sun exposure actually had the lowest melanoma risk. 

A huge reason for the increase in skin cancer is because of the toxic seed oils that are then incorporated into your cell membranes. 

On top of that your skin is actually able to produce endogenous “sunscreen” when it reacts with the infrared in the sun. 

Most of the studies on the dangers of the sun don’t account for this because they blast animals with isolated UV rays. 

Humans were made to enjoy the sun. 

I’m not saying go mad, still respect the sun & exposure, but also respect that toxic chemicals aren’t the solution… 

However, Astaxanthin is a favourite of mine for protecting us naturally from the inside out. I’ve done a full post about it a few months ago. Check it out to see why it works. 

Stop fighting evolution. Respect it.",easy,https://www.facebook.com/EmfSolutions/photos/a.3640771829385152/3821053751356958/,TRUE,"This is fake news. This claim is a misinterpretation of existing reports about the safety of sunscreens, and it appears to have intentions of eliciting fear among readers. There is no evidence that sunscreen is more harmful that exposure to sun and further research is necessary in this field. 
Please click on the link to view the full fact check: ",https://www.reuters.com/article/factcheck-health-sunscreen-idUSL2N2NR1WV,https://i.ibb.co/LzbMj5X/easy7.jpg,7
Sweden stops using PCR Tests,The PCR technology cannot distinguish between viruses capable of infecting cells and viruses that have been neutralized by the immune system and therefore these tests cannot be used to determine whether someone is contagious,medium,https://perma.cc/5232-UZBK,TRUE,"This is fake news. The Swedish government has not suspended PCR testing to identify COVID-19. Anna Wetterqvist, from the Public Health Agency of Sweden, confirmed to Reuters in an email that Sweden had not suspended PCR testing and had not changed any policies or guidelines relating to their use. 
Please click on the link to view the full fact check:  ",https://www.reuters.com/article/factcheck-coronavirus-sweden-idUSL2N2NJ0M4,https://i.ibb.co/yQHWC15/medium7.jpg,7
NEW YORK: CHINESE IMMIGRANT SOLD HOT DOGS MADE WITH REAL DOG MEAT,"Xi Ping Chow, a 57-year-old Chinese immigrant, has been arrested by the NYPD this week after authorities were informed that the man was making his own hotdogs with the meat of stray dogs in the area. 

NYC food inspectors were anonymously tipped on Chow’s operation which possibly involved recuperating dead dogs in dumpsters of the Animal Care Centers all over the city report officials. 

Sixteen other family members are also under investigation as they were currently volunteering in nine different Animal Care Centers in the New York City area and suburbs have confirmed authorities. 

Chow’s lawyer, Justin Wang, told reporters that he was currently not aware of any concrete evidence that his client, who has been charged with animal cruelty, had sold dog meat but that if he had, it was only a cultural misunderstanding, he argued. 

Chow’s wife, Hu-Wen Zhao, believes the owner of the hot dog stand on the other side of the street has conspired against her husband to shut down his business. 

Killing dogs and cats for meat is still legal in 44 U.S. states but in the state of New York it is expressly prohibited for “any person to slaughter or butcher  domesticated dogs or domesticated cats to create food, meat or meat products for human or animal consumption.” 

Xi Ping Chow immigrated to the United States in 1996 and has had a hot dog stand license in the Brooklyn area for the past 18 years. Some experts estimate he could have sold over a million of his hot dogs to date.",hard,https://archive.is/d983t,TRUE,"This is fake news. Reflect on your own biases: Is the post true or do you want it to be true? The story makes no reference to any corroborating media reports or official statements from the New York Police Department. Furthermore, the photo included in the article actually shows the June 2008 arrest of Victor Yau, a Queens man accused of assault. 
Please click on the link to view the full fact check:  ",https://www.snopes.com/fact-check/hot-dog-dog-meat/,https://i.ibb.co/1XzQ7qW/hard7.jpg,7
Police Warn Yishun Residents of Harassment Letters Signed Off By Lord Voldermort,"Someone’s apparently been masquerading as the Dark Lord from the Harry Potter series by sending out harassment letters signed off by “Lord Voldermort”. (Although they could’ve at least spelled the name of He Who Must Not Be Named correctly.)

According to a police advisory, the threatening letters stamped with the word “URGENT” were delivered to residents of a particular housing block in Yishun, informing them of one of their neighbor’s failure to repay his/her debt. The recipients were told to make said debtor pay up, or their own flats would be harassed.

Several residents in multiple locations other than Yishun lodged police reports upon receiving the letters. The authorities advised them not to follow the instructions and to avoid sending an email reply to the address given.

According to Channel NewsAsia, a resident in Clementi received a similar letter warning the recipient that it was “not a spam or a prank”. “Lord Voldermort” went on to say that “I am writing this mail to you because you and your family is about to face disturbing events soon”, as one of their neighbors owed him a couple thousand dollars.

“Please help me to urge him to pay me what I am supposed to get or I will start harassing YOUR unit,” declared the letter, which came with an email address and a deadline. “I am sure you do not want your gate on fire or red paint all over your unit.” 

It went on to threaten the recipient with: “You might be thinking you are safe because you live in private property. I will not send this mail to you if I do not have ways to get to you and harass you.” 

Member of Parliament for Nee Soon, Lee Bee Wah, posted a photo of the advisory on Wednesday (Aug 31), telling residents to alert the police — who have been stepping up patrols in the area — of any suspicious behavior. 

Some residents have received letters that threaten to harass them. The letters are signed off by ""Lord Voldemort""!

The police have put up an advisory at the notice board. they have also stepped up patrols. All residents, if you see suspicious characters loitering or harassing units, please take photos and videos of them and submit them to the police.",easy,https://coconuts.co/singapore/news/police-warn-yishun-residents-harassment-letters-signed-off-lord-voldermort/,FALSE,"This is real news. Yishun has been touted as the land of mysterious happenings, and this involvement with “Lord Voldermort” should come as no surprise! Some residents have indeed received threats that are signed off by “Lord Voldermort”. 
Please see the link for more information:",https://mothership.sg/2017/08/yishun-residents-getting-harassed-for-money-through-letters-from-lord-voldemort/,https://i.ibb.co/rbJbYdL/easy8.jpg,8
Eagle Eye @SortedEagle,"I like the Chinese on this one :

Greta advised the Chinese to quit Chopsticks to save trees. 

Chinese asked Greta & her friends to go back to school, learn that they’re made of Bamboos & that’s grass. And advised her not to use tissues to wipe her butt as they’re made from trees.",medium,https://archive.vn/N8HC3 ,TRUE,"This is fake news. The claim is false. AFP ran keyword searches in English and Chinese and found no reliable record that Thunberg said Chinese people should stop using chopsticks to save trees. 
Please click on the link to view the full fact check:  ",https://factcheck.afp.com/greta-thunberg-did-not-urge-chinese-people-stop-using-chopsticks-save-trees-0,https://i.ibb.co/PgzLRbn/medium8.jpg,8
Carlos Faught,"This is a boneyard near Paris, France with hundreds of electric powered cars. Mind you these are only cars used by the City of Paris and not personal vehicles. All of these have the same issue… the battery storage cells have given out and need to be replaced. Why not just replace them you ask? Well two reasons. First, the battery storage cells cost almost double what the vehicle cost new, and second no landfill or disposals will allow the batteies to be disposed of there. So these green fairy tale electric cars are all sitting in vacant lots while their batteries drain toxins into the ground.

Still think we need to go green?",hard,NULL,TRUE,"This is fake news. These are genuine photos of electric cars in France, but they were taken off the road due to financial difficulties, not problems with the battery storage cells. More than 2,500 of the cars have been resold.
Please click on the link to view the full fact check:",https://www.reuters.com/article/factcheck-electric-cars-france-idUSL2N2N60XA,https://i.ibb.co/Wsfrpwk/hard8.png,8
See camel that lose half body in Saudi Arabia,"According to wild viewing on Instagram page shared the picture and story. ""This Camel in Saudi Arabia had lost half it’s body when it unfortunately wondered onto a land mine. After losing the back portion of its body, surgeons worked tirelessly arranging the internal organs into a functioning system. They also created the Camel a new functioning Anus. The Camel has made new friends with the local Ostrich family where they have adopted him as one of their own. The Camel is able to regurgitate water directly into the Ostriches mouths when there is no other water source available"".

A camel is an even-toed ungulate in the genus Camelus that bears distinctive fatty deposits known as ""humps"" on its back. Camels have long been domesticated and, as livestock, they provide food (milk and meat) and textiles (fiber and felt from hair).

Content created and supplied by: BLLMagazine (via Opera News )",easy,https://ng.opera.news/ng/en/food/baa3711c9be35c969fa67b408071c98d,TRUE,"This is fake news. This viral image was created by manipulating a genuine photograph of a fully whole camel.
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/half-body-camel/,https://i.ibb.co/yQvzNfW/easy9.webp,9
CDC Officials Admit More Hospitalization of Young People from Vaccine than From the Actual COVID Virus,"Former New York Times reporter and author Alex Berenson watched the CDC presentation and wrote a fascinating article on his Substack account.

Berenson then notes that from the CDC’s own data they are seeing more children and young adults hospitalized from the COVID vaccine than they ever saw from the COVID virus.

Alex Berenson writes:
""We can no longer trust the Centers for Disease Control to weigh honestly the risks and benefits of Covid vaccines for young people.

That is the only possible interpretation of Wednesday’s CDC Advisory Committee on Immunization Practices (ACIP) meeting about the link between Covid shots and serious heart problems in teens and young adults…""

At the meeting, CDC scientists presented horrendous data. It showed that even without accounting for underreporting, a second dose of the Pfizer and Moderna vaccines could increase the risk of problems up to 200-fold in young men.

But the scientists then went on to suggest the vaccines should still be given – even to kids already suffering from heart problems…

…the CDC’s own data shows that for every 100,000 vaccines given to young people, more than 25,000 will have temporary side effects that prevent them from “normal activities,” 700 will require medical care and 200 will be hospitalized.

In contrast, the CDC estimates that only about 50 out of 100,000 adolescents have EVER been hospitalized for Covid-related illness.",medium,https://thejewishvoice.com/2021/06/cdc-officials-admit-more-hospitalizations-of-young-people-from-vaccine-than-from-the-actual-covid-virus/ ,TRUE,"This is fake news. A CDC spokesperson said the agency has not stated or implied what the Instagram post claims. The post relies on blog posts that misstate CDC statistics. 
Please click on the link to view the full fact check: ",https://www.politifact.com/factchecks/2021/jun/30/instagram-posts/cdc-says-more-young-people-hospitalized-vaccine-co/,https://i.ibb.co/G2DN5vJ/medium9.jpg,9
"Malaysians feeling magnetic, stick metal objects on their bodies after Covid-19 Vaccine","While we're all aware of the vaccine side effects and have learnt to cope with them, recent claims of having developed ""magnetic"" powers post COVID vaccination have taken social media platforms",hard,NULL,TRUE,"This is fake news. mRNA vaccines such as Pfizer-BioNTech and Moderna vaccines do not contain microchips or any ingredients that may cause magnetism. Further tests found that sweat on the surface of human skin makes us a little sticky, which makes it more likely for objects with large and flat surfaces to stay stuck. 
Please click on the link to view the full fact check:",https://factcheck.afp.com/covid-19-vaccines-do-not-contain-magnetic-microchips,https://i.ibb.co/84X9GSJ/hard9.png,9
Elephant's mountain,This image is taken near a mountain at Poland that looks like an elephant.,easy,https://www.instagram.com/p/BeLEW5nAaki/?utm_source=ig_embed&ig_rid=7d30a3ea-377a-49fe-84ff-437adb84a704 ,TRUE,"This is fake news. An image has been shared hundreds of times on Facebook in Ethiopia alongside a claim that it shows a real mountain cliff shaped like an elephant. But this is false: AFP Fact Check found that the image was digitally created by a Polish artist.
Please click on the link to view the full fact check:",https://factcheck.afp.com/image-elephant-shaped-mountain-composite-created-polish-artist-mirekis,https://i.ibb.co/qx8rj2F/easy10.jpg,10
Dasani is considered the worst bottled water in the market because it contains potassium cholaride. ,It's the same chemical that's given to death row inmates before they die. Extended exposure to this may lead to weaker bones & cardiac arrest,medium,NULL,TRUE,"This is fake news. Instagram posts claim that Dasani bottled water contains the same compound used to kill inmates on death row, giving the impression that the water is toxic. This is misleading; experts say potassium chloride is a commonly occurring essential nutrient, the amounts used for bottled water and lethal injections are not comparable, and injection is far more dangerous than drinking it. 
Please click on the link to view the full fact check:",https://factcheck.afp.com/dasani-water-has-safe-amounts-potassium-chloride,https://i.ibb.co/Rgr9mHx/medium10.png,10
Disconnect Grandpa to plug in the mobile charger,"UNPLUGGED THE RESPIRATOR ""JUST TO SEND A WHATSAPP SAYING GRANDPA IS OKAY""

Adrián Hinojo, 26, went yesterday to the Gregorio Marañón hospital in Madrid to visit his grandfather, who was admitted for pulmonary involvement. In the absence of the nursing team and other family members, the young man decided to unplug the old man's artificial respirator to charge his mobile phone.

“Let's see: it was at 1% battery, which can be described as a critical situation. In addition, my mother asked me to tell her how grandfather was as soon as he arrived at the hospital, so I had to send him a WhatsApp, ”Hinojo excuses himself.
Far from just sending a message to his mother, Adrián took the opportunity to photograph his grandfather and upload the snapshots to Instagram. Damn, I did it so they could see that she was fine. It's true that he was turning blue, but I thought it was because of the Valencia filter, ”he says, referring to the moment when the old man began to suffer from a lack of oxygen.

""People could also have warned me instead of liking it,"" he complains.

""It is very fragile. Time goes by and he can bear less and less activity. It is slowly fading away and you can't do anything. It gives a lot of anger "", explains Adrián referring to his terminal.

Fortunately, the old man was able to reach the command to notify the infirmary and the doctors arrived in time to help him. “They went crazy when they saw that the respirator was off. I asked them where the hell the plugs were in that room and they didn't answer. It seems very strong to me that there is only one plug. They are the fucking health cuts "", laments Hinojo.

After the incident, Adrián's family has been outraged. «I understand the anger and I share it. But you have to find solutions. Either we buy one of those external batteries for the mobile phone or we change it for a new one. We cannot be like this », the young man sentenced.

Pip, pip, pip, dead. Do you see it? Now what ”, asks Hinojo, repeatedly pressing the button on his mobile, which does not react.",hard,https://www.elmundotoday.com/2015/07/desconecta-al-abuelo-para-enchufar-el-cargador-del-movil/,TRUE,"This is fake news. This news piece is an international hoax, a completely fictitious story that has been repeated across websites. Furthermore, El Mundo Today is a satirical newspaper and all of its content is meant for entertainment purposes.  It is thus important that readers examine news sources carefully and cross-check information. 
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/girl-disconnect-life-support-plug-in-charger/,https://i.ibb.co/qRBvf0N/hard10.png,10
"Northern Lights from Space, courtesy of NASA","I AM PEACE

by: PEACE CASTLE

A photo allegedly published by NASA that shows the Northern Lights from Space is being shared by social media users",easy,https://newsmeter.in/fact-check/fact-check-this-is-not-a-photo-of-northern-lights-from-space-680818,TRUE,"This is fake news. This image is miscaptioned, and is part of a 3D video published by NASA about how the earth’s magnetic field causes auroras to form. 
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/northern-lights-seen-space/,https://i.ibb.co/mtgshr2/easy11.jpg,11
Want to be a pirate?,"Massachusetts Institute of Technology awards official ""Pirate Certifications"" to students who complete courses in archery, pistol shooting, sailing and fencing.",medium,https://www.facebook.com/HistoryHustle/posts/2005945169675466,FALSE,"This is real news. 
Please see the link for more information:",https://www.snopes.com/fact-check/mit-pirate-certificate/,https://i.ibb.co/j8Kbc89/medium11.jpg,11
"Truck Carrying 20,000 Pounds of Ramen Noodles Crashes Into Lake","A truck carrying 20,000 pounds of ramen noodles crashed on Tuesday before toppling into an Arkansas lake, as pictures shared by authorities showed the vehicle on its side in the water.

In a Facebook post on Tuesday evening, the Arkansas Game and Fish Commission shared two photos of the truck lying on its side in a shallow portion of Lake Conway, located at the intersection of Arkansas Highway 89 and Interstate 40 in Faulkner County, Arkansas.

The commission wrote that the Arkansas Department of Environmental Quality was notified of the incident, while a HAZMAT crew was on the scene investigating the crash that occurred at around 3:00 p.m. local time.

""A wrecker is removing the truck from the lake, which appears to be uncontaminated by the accident,"" the commission wrote.

The crash caused a stir on the agency's Facebook page, with the pictures and statement of the incident so far amassing 723 comments and 1,100 shares.

KARK-TV reported that the Mayflower Police Department was leading the investigation into the crash. The commission confirmed that the driver and passenger in the truck were unhurt in the incident.

The authorities have not yet revealed what company the 20,000 pounds of noodles belonged to, or where the product was being transported to on Tuesday afternoon.

Tuesday's incident is not the first time that a truck carrying ramen noodles has crashed in the U.S., as in January 2015 the contents of a delivery truck were spilled across a highway after the driver of a tractor-trailer collided into a guard rail.

The driver of the truck, Larry Scholting, told ABC15 that he crashed into the guard rail in Nash County, North Carolina, after he fell asleep at the wheel during his delivery.

""I thought I could make it down to the truck stops in Kenly, and I didn't quite make it. I kind of drowsed off, and next thing I knew I had taken out the guard rail,"" Scholting said.

Although Scholting was not injured in the crash, dozens of packets of the noodles were thrown from the truck during the incident when the trailer's cargo space was cut in half.

Part of the road was closed as the authorities cleaned up the mess, while the noodles were dumped at a local landfill after becoming contaminated by diesel fuel that leaked during the crash.

Newsweek has contacted the Arkansas Game and Fish Commission and the Mayflower Police Department for comment.",hard,https://archive.is/0ftvs#selection-1699.0-1701.101,FALSE,"This is real news. While the reported numbers may seem too large to be real, it is true that on 13th July, the Arkanas Department of Environmental Quality was notified of this incident. 
Please see the link for more information:",https://www.snopes.com/fact-check/truck-20000-pounds-ramen-crash/,https://i.ibb.co/GFZwWfn/hard11.webp,11
SINGAPORE POPULATON PLAN OF 10 MILLION,"18 January 2017

Similar to the 30 by 30 vision for the food industry, latest released population black paper suggests that Singapore has aims and goals of reaching a 10 million population goal by 2027. This is a 10 in 10 vision (10 million population in 10 years) which drew irks from the present population as complains and discontentment on the already densely populated space ensure.",easy,NULL,TRUE,"This is fake news. If you examine closely, there are several errors in this article. First, in the headline, ‘0’ is used in place of ‘O’ for the word ‘Million’. Furthermore, Singapore’s population projection is released through the Population White Paper, and not the black paper. Hence, readers can look out for such message cues as a way to gauge the veracity of news articles. 
Please click on the link to view the full fact check:",https://www.gov.sg/article/does-the-government-have-a-population-target,https://i.ibb.co/jZzwKTR/medium12.png,12
Largest Dinosaur Tibia on Record Found in Illinios,"A TikTok video claimed the dinosaur was discovered when construction workers were building a foundation for a fuel tank on a farm.

By Christoff Lee
Publich 20 June 2021, Updated 25 June 2021",medium,NULL,TRUE,"This is fake news. There is no record of dinosaur fossils being discovered in the state. Snopes clarified that research is in progress regarding this news piece. 
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/largest-dinosaur-tibia-on-record/,https://i.ibb.co/5szYczr/hard12.png,12
